Decade,Total number of faces,% of pages with faces
1790,3,15.0
1800,10,25.0
1810,2,7.6923076923076925
1820,1,3.125
1830,2,5.555555555555555
1840,0,0.0
1850,2,8.333333333333332
1860,1,4.166666666666666
1870,1,4.166666666666666
1880,1,4.166666666666666
1890,1,3.8461538461538463
1900,4,14.285714285714285
1910,4,13.333333333333334
1920,8,21.428571428571427
1930,8,21.428571428571427
1940,10,21.052631578947366
1950,8,16.666666666666664
1960,25,21.11111111111111
1970,14,14.102564102564102
1980,60,32.35294117647059
1990,115,35.57692307692308
